SCARLET & VIOLET PULL RATES										
SV 1 -  Base Set	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Scarlet-Violet-Pull-Rates/a7702fce-dd64-4a58-beb1-0f871c853215/?srsltid=AfmBOoqZt0htz3R83fywXIYWFPIf8-7WslKVwHHbo6e660XBdj1pXTfU			4.5 - Paldean Fates	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Paldean-Fates-Pull-Rates/23de3e93-0d0f-4ae0-abc4-13664f3001a3/?srsltid=AfmBOopo0WFpUi4F9R8LBhwCIG9G8YqmNWJBbMWoso-g40a62IH8WTcO			SV 8 - Surging Sparks	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Surging-Sparks-Pull-Rates/6ccfb6ab-f26a-4ce8-bab5-5f91c85ec70e/?srsltid=AfmBOop2m0RdZv2Caj-rSYcs2mBrSWBRt_qXZX_NqnzDQnP6AbiiP7xc	
Special Illustration Rare	1 in 32 Packs	6		Double Rare	1 in 6 Packs			Double Rare	1 in 5 Packs	
Hyper Rare	1 in 52 Packs	3		Ultra Rare	1 in 15 Packs	21		Ultra Rare	1 in 15 Packs	11
				ACE SPEC Rare	1 in 20 Packs	6		Illustration Rare	1 in 12 Packs	11
3.5 - 151	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Scarlet-Violet%E2%80%94151-Pull-Rates/b237df74-fbb0-40d0-9e13-d69ee6e804d9/			Illustration Rare	1 in 13 Packs	21		Special Illustration Rare	1 in 86 Packs	6
Rarity	Pull Rate	in Set		Special Illustration Rare	1 in 86 Packs	11		Hyper Rare	1 in 137 Packs	3
Foil Energy	1 in 4 Packs			Hyper Rare	1 in 146 Packs	6				
Double Rare	1 in 8 Packs							SV 10 - Destined Rivals		
Ultra Rare	1 in 16 Packs	16		6.5 - Shrouded Fable						
Illustration Rare	1 in 12 Packs	16		Rarity	Pull Rates	in Set				
Special Illustration Rare	1 in 32 Packs	7		Double Rare						
Hyper Rare	1 in 51 Packs	3		Ultra Rare	15	10				
				ACE SPEC Rare	20	3				
SV 4 - Paradox Rift	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Paradox-Rift-Pull-Rates/0b5fb648-38fc-4f61-a6af-57c2737b4a48/?srsltid=AfmBOooAQYrkaEMkVnqRCyioTsMMHW4VHGCi5D42TrvwphOpwLoOpKnC			Illustration Rare	12	15				
Rarity	 Pull Rate 			Special Illustration Rare	67	5				
Double Rare	1 in 6 Packs			Hyper Rare	144	5				
Ultra Rare	1 in 15 Packs	28								
Illustration Rare	1 in 13 Packs	33		SV 7 - Stellar Crown	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Stellar-Crown-Pull-Rates/2c0743dd-dbd0-4504-9ff8-be5a72dd04d1/?srsltid=AfmBOooihzptQow9HQtAf_lI9oqRZlvdhV9iNPobedAj5GPqkB9KPYtF					
Special Illustration Rare	1 in 47 Packs	15		Rarity	Pull Rates	in Set				
Hyper Rare	1 in 82 Packs	7		Double Rare	1 in 6 Packs					
				Ultra Rare	1 in 15 Packs	11				
				ACE SPEC Rare	1 in 20 Packs	3				
				Illustration Rare	1 in 13 Packs	13				
				Special Illustration Rare	1 in 90 Packs	6				
				Hyper Rare	1 in 137 Packs	3				
