SWORD & SHIELD PULL RATES										
SWSH 1 - Base Set	e4			SWSH  5 - Battle Styles				SWSH 10 - Astral Radience		
RR - Trainer (Full Art)	1 in 145.09	2						Rarity Tier	Pull Rate	Number in Set
Secret Rare	1 in 76.00	2		SWSH 9 - Brialliant Stars				UR total	/5	42 or 120
SR - Pokemon (Shiny 'zord)	1 in 228.00	1		Rarity Tier	Pull Rate	 in Set		V	/8	17
SR- Trainer/Energy (Gold Bean Can)	1 in 114.00	1		Normal V		20		VMAX/STAR	/19	12
Hits	1 in 3.66	26		VMAX ./ STAR		7		Text Energy	/53	8
				Ultra Rare 				FA TRainer	/105	5
SWSH 4 - Vivid Votlage				Full Art V		11 or 15		Sig Trainer	/13	4
Rarity	Packs			Full Art Trainor	/54	6		Radient Rare	/22	3
vmax	6			Alt Art		4		Secret Rare	/133	1
UR	20			Trainer Gal Total	/8	30		GGTotal	/3	70
RR	12			Non V	/8	12		GG NonV	/4	31
SR	6			V, VMAX, Trainer	/18	18		GG V+Trainer	/8	32
4.5 - Shining Fates -e4 				Secret Rare Total	/	16		GG Gold	/122	4
Rarity	Packs	 in Set		Rainbow 	/51	8				
V	/  9.23	8		Gold Rare	/92	8				
VMAX	/ 18.38	6								
Ultra Rare	/ 30.80	9								
UR - Pokemon (Full Art)	/ 199	1								
UR - Trainer (Full Art)	/ 36.45	8								
Amazing Rare	/ 17.36	3								
Rainbow Rare	/ 84.12	1								
Secret Rare - 'mon (Gold)	/ 109.35	2								
Shiny Rare	/  4.40	120								
Shiny Rare V or VMAX	/  11.16	16 or 18								
Hits Total	/ 1.69	150								
